Date,open,high,low,close,volume
2020-03-02,152.6,152.6,150.06,151.23,68548456
2020-03-03,151.39,153.89,149.07,151.01,66696475
2020-03-04,150.92,153.75,150.92,152.59,63151188
2020-03-05,153.19,158.74,153.19,156.43,34973023
2020-03-06,155.95,156.96,154.41,156.09,65857712
2020-03-09,155.84,157.76,153.24,155.55,63079240
2020-03-10,155.02,161.3,155.02,159.49,73772473
2020-03-11,159.76,162.19,159.76,161.69,54703030
2020-03-12,160.79,164.01,157.26,160.66,46336370
2020-03-13,160.23,163.83,157.91,162.03,58540960
2020-03-16,161.24,163.09,159.24,160.98,58196911
2020-03-17,160.7,161.91,156.61,159.8,60733537
2020-03-18,159.96,162.03,157.47,160.4,51479756
2020-03-19,160.26,160.26,154.52,155.72,65773272
2020-03-20,155.89,155.89,150.34,151.37,48645151
2020-03-23,151.33,151.65,147.22,149.87,34683595
2020-03-24,148.93,150.13,145.36,147.47,77162170
2020-03-25,147.58,149.36,146.36,148.13,63029882
2020-03-26,148.51,148.51,145.52,146.11,55436800
2020-03-27,146.65,146.65,140.23,142.84,83883383
2020-03-30,142.86,146.76,142.86,146.06,87825918
2020-03-31,145.76,146.22,145.05,145.75,73217063
2020-04-01,145.81,147.27,145.16,145.93,69267752
2020-04-02,146.13,146.13,141.17,142.75,71211671
2020-04-03,142.35,142.35,140.66,141.42,64162455
2020-04-06,141.69,143.32,138.56,141.64,47940811
2020-04-07,141.63,141.63,136.33,139.15,65801611
2020-04-08,139.99,142.48,138.51,139.9,75373569
2020-04-09,139.44,141.02,137.16,138.66,62669856
2020-04-10,139.34,139.34,136.81,138.01,28704382
2020-04-13,138.15,139.09,133.26,136.72,67739783
2020-04-14,137.31,142.99,137.31,140.75,75320499
2020-04-15,141.29,143.83,138.03,140.97,31492918
2020-04-16,140.86,140.86,137.24,138.69,50368331
2020-04-17,138.04,142.13,138.04,140.43,49102170
2020-04-20,140.3,140.3,136.71,137.89,69091673
2020-04-21,137.91,140.08,136.58,138.26,50277291
2020-04-22,138.73,138.73,133.55,134.12,58607658
2020-04-23,134.39,134.39,129.31,131.18,74378591
2020-04-24,131.41,132.86,129.72,131.49,25964818
2020-04-27,131.42,135.62,131.42,133.08,33698451
2020-04-28,133.3,134.77,132.32,133.56,41825449
2020-04-29,134.17,135.64,131.58,133.39,39142236
2020-04-30,133.7,133.71,131.8,132.79,61707868
2020-05-01,132.85,132.85,128.65,129.75,46601091
2020-05-04,129.39,130.54,125.11,128.18,58906471
2020-05-05,128.64,128.64,126.31,127.21,74432829
2020-05-06,127.36,130.08,127.36,129.34,53107620
2020-05-07,129.63,133.19,128.29,130.19,41281027
2020-05-08,129.92,129.92,124.28,126.71,37852193
2020-05-11,126.91,128.89,125.35,127.22,70909949
2020-05-12,126.94,127.13,125.97,126.52,60263977
2020-05-13,127.07,127.07,123.91,125.18,55131297
2020-05-14,124.55,127.98,123.53,126.37,49475028
2020-05-15,126.48,130.19,126.48,128.54,63099194
2020-05-18,128.33,131.27,128.33,130.59,80748050
2020-05-19,130.36,130.36,128.32,129.02,57121981
2020-05-20,128.94,129.24,127.83,128.35,54682546
2020-05-21,127.9,131.6,126.71,129.03,61559742
2020-05-22,128.55,133.99,128.46,131.11,71343687
2020-05-25,130.72,131.15,128.71,130.27,55122394
2020-05-26,130.52,130.61,128.95,129.89,43619409
2020-05-27,129.68,129.98,125.13,127.66,38248566
2020-05-28,127.12,128.54,122.73,125.21,80108401
2020-05-29,125.01,128.45,125.01,126.74,74355501
2020-06-01,126.88,132.07,126.88,129.6,49104653
2020-06-02,129.63,130.58,128.97,129.64,40396069
2020-06-03,129.92,133.04,129.92,131.75,58978725
2020-06-04,131.6,135.04,129.18,132.65,76407745
2020-06-05,132.83,132.83,130.68,131.39,75444951
2020-06-08,131.19,135.04,129.24,132.12,47647484
2020-06-09,132.03,136.56,132.03,135.44,92089845
2020-06-10,136.44,138.02,134.32,135.58,63869132
2020-06-11,135.46,139.99,135.46,139.01,40400954
2020-06-12,139.22,139.22,132.85,133.6,65129963
2020-06-15,133.62,137.12,133.62,135.88,35405679
2020-06-16,135.49,137.59,134.09,136.19,28699605
2020-06-17,136.36,137.7,134.31,135.61,77941473
2020-06-18,135.38,136.66,134.79,135.82,31550389
