Date,open,high,low,close,volume
2020-03-02,355.53,355.53,349.61,352.34,68548456
2020-03-03,352.72,358.71,347.47,351.98,66406819
2020-03-04,351.77,357.68,351.77,354.99,62042700
2020-03-05,356.39,367.52,356.39,362.16,33624070
2020-03-06,361.04,363.62,357.7,361.6,65486185
2020-03-09,361.03,365.76,355.28,360.65,62563740
2020-03-10,359.43,372.16,359.43,368.0,70909000
2020-03-11,368.62,373.26,368.62,372.09,53461032
2020-03-12,370.01,377.98,362.43,370.25,45713992
2020-03-13,369.25,376.98,363.36,372.85,57700625
2020-03-16,371.02,375.83,366.95,370.95,57398901
2020-03-17,370.31,373.71,361.47,368.83,59817352
2020-03-18,369.19,373.76,363.23,370.0,51181191
2020-03-19,369.68,369.68,358.62,361.39,62690489
2020-03-20,361.8,361.8,350.96,353.34,46440453
2020-03-23,353.25,354.77,344.4,350.59,34008179
2020-03-24,348.39,352.39,341.2,346.15,74918653
2020-03-25,346.41,350.34,343.29,347.44,62582413
2020-03-26,348.32,348.32,342.32,343.69,54022468
2020-03-27,344.95,344.95,331.42,337.58,80686542
2020-03-30,337.63,345.36,337.63,343.7,84734806
2020-03-31,342.99,344.29,341.53,343.17,72804590
2020-04-01,343.31,346.71,341.74,343.57,69196235
2020-04-02,344.04,344.04,333.88,337.61,68550245
2020-04-03,336.66,336.66,333.35,335.14,62976060
2020-04-06,335.79,339.6,328.32,335.62,47861109
2020-04-07,335.59,335.59,324.22,330.94,63735712
2020-04-08,332.93,338.53,329.12,332.41,74715932
2020-04-09,331.32,335.72,326.53,330.11,61561656
2020-04-10,331.73,331.73,326.05,328.92,28404407
2020-04-13,329.26,332.15,318.25,326.5,66483202
2020-04-14,327.91,339.54,327.91,334.22,72020122
2020-04-15,335.51,341.48,327.71,334.69,31443057
2020-04-16,334.43,334.43,326.94,330.41,48894133
2020-04-17,328.87,337.81,328.87,333.77,48079912
2020-04-20,333.47,333.47,326.17,328.97,66867631
2020-04-21,329.03,334.07,325.74,329.73,50087274
2020-04-22,330.84,330.84,320.48,321.85,55806774
2020-04-23,322.51,322.51,311.74,316.26,71592516
2020-04-24,316.81,320.2,312.63,316.89,25885646
2020-04-27,316.71,326.12,316.57,320.01,33018189
2020-04-28,320.54,323.89,317.99,320.99,41593957
2020-04-29,322.45,326.12,316.36,320.7,38981937
2020-04-30,321.44,321.8,317.2,319.59,61088667
2020-05-01,319.74,319.74,311.12,313.77,44789616
2020-05-04,312.89,316.5,303.34,310.77,57548478
2020-05-05,311.89,311.89,306.75,308.95,73284252
2020-05-06,309.31,314.92,309.31,313.12,51664879
2020-05-07,313.82,322.06,310.21,314.82,40831138
2020-05-08,314.16,314.16,302.21,308.11,36192330
2020-05-11,308.59,313.19,304.6,309.16,70458395
2020-05-12,308.48,309.32,306.5,307.83,59545034
2020-05-13,309.18,309.54,302.18,305.28,53997762
2020-05-14,303.74,311.56,300.72,307.63,48691204
2020-05-15,307.91,315.92,307.91,311.9,61344306
2020-05-18,311.4,317.57,311.4,315.92,78645175
2020-05-19,315.36,315.36,311.22,312.92,55811562
2020-05-20,312.73,313.82,310.4,311.68,54067959
2020-05-21,310.58,319.26,307.41,313.05,61030594
2020-05-22,311.89,324.08,310.72,317.11,69473985
2020-05-25,316.17,317.67,311.76,315.53,54378310
2020-05-26,316.13,316.6,312.58,314.84,43307515
2020-05-27,314.34,316.2,304.42,310.57,37073959
2020-05-28,309.26,313.97,299.77,305.84,77406149
2020-05-29,305.36,313.04,305.36,308.87,72844781
2020-06-01,309.21,320.47,309.21,314.47,47375391
2020-06-02,314.55,316.88,312.96,314.6,40432664
2020-06-03,315.27,321.86,315.15,318.73,57416141
2020-06-04,318.36,326.29,312.15,320.52,75539711
2020-06-05,320.97,320.97,316.41,318.14,74032097
2020-06-08,317.66,326.67,312.62,319.6,47215682
2020-06-09,319.37,328.74,319.37,326.06,88538926
2020-06-10,328.47,332.24,323.35,326.37,63838502
2020-06-11,326.08,335.35,326.08,333.02,38833103
2020-06-12,333.53,333.53,320.85,322.66,61358837
2020-06-15,322.71,330.1,322.71,327.13,34449498
2020-06-16,326.18,331.15,322.71,327.77,28615387
2020-06-17,328.18,331.73,323.57,326.69,77189446
2020-06-18,326.14,329.17,324.67,327.15,31500881
2020-06-19,326.75,326.75,315.87,319.21,35023673
2020-06-22,317.74,323.58,313.17,318.06,58217532
2020-06-23,318.93,323.21,316.97,319.56,72599854
2020-06-24,320.72,328.38,320.72,325.78,73555702
2020-06-25,325.47,326.94,319.36,324.1,51604055
2020-06-26,324.21,324.21,319.0,320.86,39353176
2020-06-29,319.78,319.92,316.71,318.8,69259414
2020-06-30,316.93,328.47,316.93,322.52,75020806
2020-07-01,324.51,326.06,322.88,324.18,43344604
