Date,open,high,low,close,volume
2020-03-02,406.02,406.02,399.26,402.37,68548456
2020-03-03,402.8,409.66,396.82,401.97,66395047
2020-03-04,401.73,408.1,401.73,405.03,61508556
2020-03-05,406.63,418.45,406.63,412.35,33040017
2020-03-06,411.07,414.04,407.3,411.74,65439931
2020-03-09,411.09,416.55,404.62,410.73,62454302
2020-03-10,409.34,422.95,409.34,418.22,69669941
2020-03-11,418.93,423.7,418.93,422.37,52887833
2020-03-12,420.01,429.23,411.58,420.46,45534171
2020-03-13,419.32,427.77,412.31,423.07,57278882
2020-03-16,421.0,426.64,416.56,421.1,57166391
2020-03-17,420.38,424.44,410.54,418.9,59540684
2020-03-18,419.31,424.33,412.38,420.06,50983013
2020-03-19,419.69,419.69,408.06,411.22,61537917
2020-03-20,411.68,411.68,400.21,402.93,45618743
2020-03-23,402.83,404.84,393.01,400.08,33788081
2020-03-24,397.57,402.6,389.83,395.48,74126714
2020-03-25,395.78,400.08,392.03,396.77,62307649
2020-03-26,397.78,397.78,391.32,392.88,53534087
2020-03-27,394.32,394.92,379.5,386.56,79516398
2020-03-30,386.62,394.72,386.62,392.82,83384346
2020-03-31,392.01,393.53,390.37,392.24,72753401
2020-04-01,392.4,396.22,390.54,392.62,69059064
2020-04-02,393.15,393.15,382.19,386.46,67578283
2020-04-03,385.37,385.37,381.83,383.88,62594632
2020-04-06,384.62,388.9,375.98,384.34,47754328
2020-04-07,384.3,384.3,371.78,379.49,62998071
2020-04-08,381.77,387.99,377.19,380.97,74339310
2020-04-09,379.72,385.0,374.46,378.57,61209743
2020-04-10,380.42,380.42,374.02,377.3,28327926
2020-04-13,377.69,381.26,365.3,374.78,66078859
2020-04-14,376.39,388.8,376.39,382.71,70607305
2020-04-15,384.19,390.94,375.17,383.16,31373890
2020-04-16,382.86,382.86,374.74,378.72,48373220
2020-04-17,376.96,386.78,376.96,382.15,47601703
2020-04-20,381.8,381.8,373.96,377.17,66070729
2020-04-21,377.24,382.89,373.34,377.92,49933555
2020-04-22,379.2,379.2,368.18,369.76,54757755
2020-04-23,370.51,370.51,358.73,363.93,70574762
2020-04-24,364.56,368.37,359.66,364.56,25813694
2020-04-27,364.35,374.78,363.81,367.76,32698352
2020-04-28,368.37,372.07,365.29,368.74,41437290
2020-04-29,370.42,374.63,363.42,368.4,38979136
2020-04-30,369.25,369.77,364.49,367.23,60934726
2020-05-01,367.41,367.41,358.12,361.17,44125071
2020-05-04,360.15,364.63,349.48,358.04,57088632
2020-05-05,359.34,359.34,353.58,356.12,72934679
2020-05-06,356.53,362.48,356.53,360.41,51015479
2020-05-07,361.22,370.47,356.84,362.14,40589690
2020-05-08,361.38,361.38,348.35,355.15,35575650
2020-05-11,355.71,360.87,350.96,356.21,70169616
2020-05-12,355.42,356.52,353.28,354.81,59348089
2020-05-13,356.36,357.05,348.55,352.13,53623456
2020-05-14,350.35,359.07,346.58,354.54,48305903
2020-05-15,354.86,363.56,354.4,358.93,60556765
2020-05-18,358.35,364.97,358.35,363.07,77693375
2020-05-19,362.43,362.43,357.97,359.94,55368272
2020-05-20,359.73,361.09,357.15,358.62,53904665
2020-05-21,357.36,367.16,353.53,360.0,60726119
2020-05-22,358.67,372.18,356.83,364.18,68628433
2020-05-25,363.1,364.98,358.18,362.52,54162885
2020-05-26,363.2,363.79,359.17,361.77,43250025
2020-05-27,361.19,363.79,350.24,357.32,36655895
2020-05-28,355.81,361.75,345.4,352.39,76431758
2020-05-29,351.83,360.3,351.83,355.5,72135250
2020-06-01,355.89,368.15,355.89,361.27,46619946
2020-06-02,361.36,363.99,359.49,361.37,40383371
2020-06-03,362.14,369.19,361.5,365.61,56710498
2020-06-04,365.19,374.04,357.83,367.43,75078959
2020-06-05,367.94,367.94,362.95,364.94,73576318
2020-06-08,364.38,374.52,358.41,366.42,46971296
2020-06-09,366.16,376.11,366.16,373.04,87001447
2020-06-10,375.8,380.05,369.87,373.33,63725868
2020-06-11,372.99,382.8,372.99,380.13,38154663
2020-06-12,380.71,380.71,367.37,369.44,59924394
2020-06-15,369.5,377.39,369.5,374.0,33994922
2020-06-16,372.92,378.49,368.84,374.62,28537148
2020-06-17,375.09,379.25,369.92,373.49,77007275
2020-06-18,372.86,376.24,371.1,373.93,31431762
2020-06-19,373.47,373.47,361.89,365.72,34356252
2020-06-22,364.04,370.83,358.9,364.5,58062204
2020-06-23,365.5,370.2,363.05,366.02,72214970
2020-06-24,367.35,375.37,367.35,372.39,72316674
2020-06-25,372.04,373.89,365.21,370.63,51391362
2020-06-26,370.75,370.75,365.14,367.26,39023742
2020-06-29,366.03,366.39,362.72,365.11,68895525
2020-06-30,362.96,375.72,362.96,368.92,74184356
2020-07-01,371.2,372.74,369.11,370.59,43099076
2020-07-02,369.62,374.09,363.54,368.56,67786521
2020-07-03,366.04,379.96,362.46,370.71,43144212
2020-07-06,370.61,376.45,367.11,371.33,57809444
2020-07-07,372.36,382.81,369.57,375.57,62015279
2020-07-08,375.67,375.67,371.53,372.9,63210357
2020-07-09,374.83,374.83,369.26,371.49,29689271
2020-07-10,370.6,371.0,367.02,369.88,41562421
2020-07-13,371.32,371.32,359.81,363.81,39924571
2020-07-14,362.96,366.45,361.91,364.83,26778843
2020-07-15,365.79,369.0,364.39,366.07,65605067
2020-07-16,366.38,370.72,362.58,366.25,64053326
2020-07-17,365.23,370.63,362.41,365.39,75155021
2020-07-20,366.99,366.99,351.23,359.63,72318892
2020-07-21,361.57,364.46,353.84,357.73,44129056
2020-07-22,355.87,361.21,350.63,356.35,57801939
