Date,open,high,low,close,volume
2020-03-02,204.8,204.8,201.39,202.96,68548456
2020-03-03,203.18,206.3,199.84,202.43,67444216
2020-03-04,202.31,207.85,202.31,206.28,67943360
2020-03-05,207.1,218.9,207.1,215.71,40544379
2020-03-06,215.04,216.09,212.57,214.89,66939780
2020-03-09,214.55,216.58,210.38,213.56,64759282
2020-03-10,212.84,225.92,212.84,223.4,85596112
2020-03-11,223.78,229.68,223.78,228.96,59972600
2020-03-12,227.68,231.07,221.57,226.35,48553001
2020-03-13,225.74,232.41,224.02,229.86,62240229
2020-03-16,228.73,230.16,224.72,227.17,61046739
2020-03-17,226.78,227.16,219.72,224.19,64043777
2020-03-18,224.41,228.02,221.59,225.72,52984882
2020-03-19,225.52,225.52,212.36,214.0,77786479
2020-03-20,214.24,214.24,202.0,203.37,57226435
2020-03-23,203.32,203.32,196.23,199.76,37187620
2020-03-24,198.5,198.5,191.28,194.05,85719919
2020-03-25,194.2,197.25,193.28,195.62,65197822
2020-03-26,196.12,196.12,190.08,190.84,60788792
2020-03-27,191.54,191.54,179.89,183.23,96242093
2020-03-30,183.26,191.65,183.26,190.73,100640427
2020-03-31,190.34,190.63,189.1,190.01,74417745
2020-04-01,190.09,192.19,189.44,190.45,69982363
2020-04-02,190.71,190.71,181.02,183.04,81491816
2020-04-03,182.52,182.52,179.03,179.99,68540418
2020-04-06,180.34,182.65,176.58,180.51,48555277
2020-04-07,180.49,180.49,171.29,174.85,73715002
2020-04-08,175.9,179.79,174.79,176.54,78452409
2020-04-09,175.96,176.7,171.86,173.75,66741996
2020-04-10,174.6,174.6,170.78,172.28,29732537
2020-04-13,172.46,172.46,165.11,169.4,72378122
2020-04-14,170.13,181.33,170.13,178.49,88887795
2020-04-15,179.18,182.63,175.26,178.99,31886663
2020-04-16,178.85,178.85,172.01,173.83,55993678
2020-04-17,173.02,179.93,173.02,177.78,53464778
2020-04-20,177.62,177.62,170.56,172.03,77621860
2020-04-21,172.06,175.14,170.77,172.87,51344120
2020-04-22,173.45,173.45,162.97,163.66,69529611
2020-04-23,163.99,163.99,155.03,157.28,85141277
2020-04-24,157.55,159.59,155.81,157.94,26440519
2020-04-27,157.85,164.49,157.85,161.41,36607916
2020-04-28,161.68,163.94,160.95,162.47,43004327
2020-04-29,163.21,164.83,159.89,162.09,39541383
2020-04-30,162.47,162.47,159.58,160.78,63814648
2020-05-01,160.86,160.86,152.91,154.21,53609972
2020-05-04,153.78,153.78,147.27,150.87,64009426
2020-05-05,151.42,151.42,147.78,148.84,78593488
2020-05-06,149.01,154.24,149.01,153.36,59163994
2020-05-07,153.7,158.75,152.91,155.18,43323317
2020-05-08,154.85,154.85,144.96,147.79,44305072
2020-05-11,148.02,150.83,146.69,148.88,73143102
