entry_date,entry_price,exit_date,exit_price,quantity,exit_reason,pnl,pnl_percentage,stop_loss_price,take_profit_price
2020-03-04,304.74,2020-03-10,316.93,32,take_profit,390.0799999999999,0.04000131259434271,298.65,316.93
2020-06-24,278.21,2020-06-25,272.65,36,stop_loss,-200.16000000000008,-0.019984903490169306,272.65,289.34
2020-07-28,269.65,2020-08-03,264.26,37,stop_loss,-199.4299999999995,-0.01998887446690149,264.26,280.44
2020-11-25,305.63,2020-11-26,299.52,32,stop_loss,-195.52000000000044,-0.019991492981709956,299.52,317.86
2021-01-11,338.86,2021-01-13,332.08,29,stop_loss,-196.62000000000086,-0.020008262999468892,332.08,352.41
2021-01-22,340.01,2021-01-28,333.21,29,stop_loss,-197.20000000000033,-0.019999411782006444,333.21,353.61
2021-03-30,327.69,2021-03-31,340.8,30,take_profit,393.3000000000004,0.040007323995239444,321.14,340.8
2021-04-08,330.3,2021-04-09,323.69,30,stop_loss,-198.3000000000004,-0.020012110202845938,323.69,343.51
2021-04-16,327.88,2021-04-19,325.0,30,strategy_signal,-86.39999999999986,-0.008783701354153945,321.32,341.0
2021-04-20,329.09,2021-05-04,342.25,30,take_profit,394.80000000000075,0.0399890607432618,322.51,342.25
2021-07-07,367.2,2021-07-12,359.86,27,stop_loss,-198.17999999999932,-0.019989106753812567,359.86,381.89
2021-08-25,393.49,2021-09-01,385.62,25,stop_loss,-196.7500000000001,-0.02000050827212891,385.62,409.23
2021-10-29,441.25,2021-11-04,432.43,22,stop_loss,-194.03999999999985,-0.019988668555240778,432.43,458.9
2022-03-31,355.45,2022-04-01,348.34,27,stop_loss,-191.97000000000037,-0.020002813335208928,348.34,369.67
2022-04-13,344.62,2022-04-19,344.18,28,strategy_signal,-12.319999999999936,-0.0012767686147060464,337.73,358.4
2022-08-30,390.39,2022-09-01,382.58,25,stop_loss,-195.25000000000006,-0.02000563539025078,382.58,406.01
2022-09-02,397.49,2022-09-14,394.37,24,strategy_signal,-74.88000000000011,-0.007849254069284772,389.54,413.39
2022-09-21,395.48,2022-09-22,387.57,24,stop_loss,-189.8400000000006,-0.02000101142914945,387.57,411.3
2022-09-26,397.06,2022-09-27,389.12,24,stop_loss,-190.55999999999995,-0.019996977786732477,389.12,412.94
2022-10-07,386.68,2022-10-12,378.95,24,stop_loss,-185.52000000000044,-0.019990689976207763,378.95,402.15
2022-11-28,385.85,2022-12-06,378.13,24,stop_loss,-185.28000000000065,-0.02000777504211488,378.13,401.28
2023-01-24,360.95,2023-01-26,353.73,26,stop_loss,-187.71999999999923,-0.02000277046682358,353.73,375.39
2023-03-01,393.63,2023-03-06,409.38,24,take_profit,378.0,0.04001219419251582,385.76,409.38
2023-03-21,404.54,2023-03-31,408.45,23,strategy_signal,89.92999999999927,0.009665298857962051,396.45,420.72
2023-04-06,412.9,2023-04-07,404.64,23,stop_loss,-189.9799999999998,-0.02000484378784207,404.64,429.42
2023-05-16,442.37,2023-05-17,436.98,21,strategy_signal,-113.18999999999971,-0.012184370549539946,433.52,460.06
2023-05-18,442.92,2023-05-24,434.06,21,stop_loss,-186.0600000000003,-0.020003612390499442,434.06,460.64
2023-06-21,460.41,2023-06-29,478.83,20,take_profit,368.3999999999992,0.04000781911774279,451.2,478.83
2023-07-10,482.22,2023-07-11,472.58,19,stop_loss,-183.16000000000082,-0.019990875533988723,472.58,501.51
2023-09-20,651.29,2023-09-26,677.34,14,take_profit,364.70000000000095,0.03999754333706961,638.26,677.34
2023-10-13,662.36,2023-10-16,649.11,14,stop_loss,-185.5,-0.020004227308412344,649.11,688.85
2023-12-13,662.64,2023-12-14,661.38,14,strategy_signal,-17.639999999999873,-0.0019014849692140393,649.39,689.15
2023-12-15,661.88,2023-12-19,648.64,14,stop_loss,-185.36000000000013,-0.02000362603493082,648.64,688.36
2023-12-27,648.8,2023-12-28,644.34,14,strategy_signal,-62.43999999999892,-0.006874229346485701,635.82,674.75
